Iteration,NPU_Loss,GPU_Loss,Loss_Difference_NPU_GPU
138,1.6406,1.6397,0.0009000000000001229
139,2.1098,2.1046,0.005199999999999871
140,2.2468,2.247,-0.00019999999999997797
141,2.0608,2.062,-0.0011999999999998678
142,1.9688,1.9654,0.0034000000000000696
143,2.059,2.0576,0.00140000000000029
144,2.4766,2.4773,-0.000700000000000145
145,1.6126,1.6116,0.001000000000000112
146,2.1107,2.1076,0.0030999999999998806
147,2.1732,2.1722,0.0009999999999998899
148,2.0417,2.0382,0.0035000000000002807
149,2.0639,2.062,0.0019000000000000128
150,1.7706,1.7681,0.0024999999999999467
151,2.3444,2.3427,0.0017000000000000348
152,1.7131,1.7094,0.0037000000000000366
153,2.0971,2.0955,0.0016000000000002679
154,2.3903,2.3906,-0.000300000000000189
155,1.4506,1.4454,0.005199999999999871
156,2.0138,2.0101,0.0036999999999998145
157,2.0451,2.043,0.0020999999999999908
158,1.9411,1.9404,0.000700000000000145
159,1.9969,1.9932,0.0036999999999998145
160,1.7047,1.7015,0.0032000000000000917
161,2.2476,2.2443,0.0032999999999998586
162,1.7087,1.7049,0.0038000000000000256
163,1.8726,1.8693,0.0033000000000000806
164,2.3016,2.3023,-0.0006999999999997009
165,1.4387,1.4371,0.0016000000000000458
166,1.8606,1.8593,0.0013000000000000789
167,2.0054,2.0034,0.0019999999999997797
168,1.8447,1.843,0.0017000000000000348
169,1.7377,1.7363,0.0014000000000000679
170,1.83,1.8286,0.0014000000000000679
171,2.2284,2.227,0.00140000000000029
172,1.4073,1.4062,0.001100000000000101
173,1.8953,1.8942,0.0010999999999998789
174,1.9526,1.9499,0.0026999999999999247
175,1.8316,1.8281,0.0034999999999998366
176,1.8436,1.841,0.0025999999999999357
177,1.5715,1.5697,0.0017999999999998018
178,2.1315,2.13,0.0015000000000000568
179,1.52,1.5174,0.0025999999999999357
180,1.8826,1.8807,0.0019000000000000128
181,2.1731,2.1714,0.0016999999999995907
182,1.2808,1.2793,0.0014999999999998348
183,1.8247,1.8229,0.0018000000000000238
184,1.8473,1.847,0.00029999999999996696
185,1.7528,1.7521,0.0006999999999999229
186,1.801,1.7982,0.0027999999999999137
187,1.5276,1.5278,-0.00019999999999997797
188,2.0561,2.0547,0.0013999999999998458
189,1.5355,1.5346,0.0009000000000001229
190,1.6921,1.691,0.0010999999999998789
191,2.1073,2.1055,0.0017999999999998018
192,1.295,1.2958,-0.0008000000000001339
193,1.6906,1.6888,0.0018000000000000238
194,1.8293,1.8279,0.0013999999999998458
195,1.6822,1.6811,0.0010999999999998789
196,1.5789,1.5752,0.0037000000000000366
197,1.6638,1.6638,0.0
198,2.044,2.0431,0.0009000000000001229
199,1.2651,1.2616,0.0034999999999998366
200,1.7417,1.7415,0.00019999999999997797
201,1.7935,1.7927,0.0008000000000001339
202,1.6764,1.6732,0.0031999999999998696
203,1.6867,1.6861,0.000600000000000156
204,1.4286,1.4278,0.0008000000000001339
205,1.9744,1.9722,0.0021999999999999797
206,1.3869,1.3853,0.0016000000000000458
207,1.7276,1.7269,0.0006999999999999229
208,2.013,2.0118,0.0011999999999998678
209,1.1644,1.1622,0.002200000000000202
210,1.687,1.6864,0.000600000000000156
211,1.7059,1.7064,-0.0004999999999999449
212,1.6165,1.6156,0.0009000000000001229
213,1.663,1.6583,0.0046999999999999265
214,1.4039,1.403,0.0008999999999999009
215,1.9158,1.9158,0.0
216,1.4172,1.4139,0.0033000000000000806
217,1.5648,1.5623,0.0024999999999999467
218,1.9633,1.9644,-0.0010999999999998789
219,1.1938,1.1908,0.0029999999999998916
220,1.57,1.5687,0.0013000000000000789
221,1.7045,1.7044,9.999999999998899e-05
222,1.5625,1.5607,0.0018000000000000238
223,1.4689,1.4671,0.0018000000000000238
224,1.5446,1.5462,-0.0016000000000000458
225,1.9119,1.9121,-0.00019999999999997797
226,1.1647,1.1621,0.0026000000000001577
227,1.6292,1.6296,-0.00039999999999995595
228,1.6807,1.682,-0.0012999999999998568
229,1.5637,1.5611,0.0026000000000001577
230,1.5785,1.5768,0.0017000000000000348
231,1.3281,1.3288,-0.0006999999999999229
232,1.8578,1.8579,-0.00010000000000021103
233,1.2961,1.2931,0.0030000000000001137
234,1.6147,1.6141,0.0005999999999999339
235,1.897,1.8977,-0.0006999999999999229
236,1.0828,1.0809,0.0019000000000000128
237,1.5901,1.5879,0.0021999999999999797
238,1.6056,1.6071,-0.0015000000000000568
239,1.5191,1.5187,0.00039999999999995595
240,1.5632,1.5608,0.0023999999999999577
241,1.3128,1.3134,-0.0005999999999999339
242,1.8139,1.8158,-0.0019000000000000128
243,1.3314,1.3291,0.0022999999999999687
244,1.4706,1.4702,0.00039999999999995595
245,1.8605,1.8628,-0.0022999999999999687
246,1.1222,1.1205,0.0017000000000000348
247,1.4842,1.4821,0.0020999999999999908
248,1.6147,1.6149,-0.00019999999999997797
249,1.4772,1.4788,-0.0015999999999998238
250,1.3882,1.388,0.00020000000000020002
251,1.4586,1.458,0.0005999999999999339
252,1.8168,1.8168,0.0
253,1.0961,1.0948,0.0013000000000000789
254,1.5484,1.5477,0.0006999999999999229
255,1.5996,1.6008,-0.0012000000000000899
256,1.4843,1.482,0.0022999999999999687
257,1.5017,1.4997,0.0020000000000000018
258,1.2592,1.2588,0.000400000000000178
259,1.7731,1.7748,-0.0017000000000000348
260,1.2299,1.2283,0.0016000000000000458
261,1.5334,1.5328,0.000600000000000156
262,1.8132,1.8147,-0.0015000000000000568
263,1.0253,1.0249,0.000400000000000178
264,1.5202,1.5176,0.0025999999999999357
265,1.5375,1.5371,0.000400000000000178
266,1.4506,1.45,0.0005999999999999339
267,1.4917,1.4885,0.0032000000000000917
268,1.2528,1.2514,0.0013999999999998458
269,1.7437,1.7437,0.0
270,1.2717,1.2701,0.0016000000000000458
271,1.406,1.4047,0.0012999999999998568
272,1.7882,1.7895,-0.0013000000000000789
273,1.0703,1.0701,0.00019999999999997797
274,1.4233,1.42,0.0033000000000000806
275,1.5532,1.5528,0.00039999999999995595
276,1.4176,1.4183,-0.0006999999999999229
277,1.3334,1.3321,0.0012999999999998568
278,1.399,1.3978,0.0012000000000000899
279,1.7505,1.7504,9.999999999998899e-05
280,1.0508,1.0472,0.0036000000000000476
281,1.4918,1.4906,0.0012000000000000899
282,1.5466,1.5445,0.0020999999999999908
283,1.4261,1.4254,0.0006999999999999229
284,1.4458,1.4414,0.0043999999999999595
285,1.2078,1.2094,-0.0016000000000000458
286,1.7188,1.7163,0.0025000000000001688
287,1.1854,1.1833,0.0020999999999999908
288,1.4764,1.4757,0.0006999999999999229
289,1.7554,1.758,-0.0025999999999999357
290,0.9887,0.9871,0.0016000000000000458
291,1.4717,1.4682,0.0035000000000000586
292,1.4883,1.4895,-0.0012000000000000899
293,1.403,1.4006,0.0023999999999999577
294,1.4431,1.4401,0.0030000000000001137
295,1.2072,1.2082,-0.0009999999999998899
296,1.6927,1.6931,-0.00039999999999995595
297,1.2316,1.2296,0.0020000000000000018
298,1.3584,1.3585,-9.999999999998899e-05
299,1.7382,1.7382,0.0
300,1.0354,1.0353,9.999999999998899e-05
301,1.3804,1.3786,0.0018000000000000238
302,1.5089,1.5094,-0.000500000000000167
303,1.3767,1.3765,0.00019999999999997797
304,1.2963,1.2944,0.0019000000000000128
305,1.3551,1.3558,-0.0006999999999999229
306,1.7026,1.7059,-0.0033000000000000806
307,1.0176,1.0165,0.001100000000000101
308,1.4531,1.4514,0.0017000000000000348
309,1.5042,1.5069,-0.0026999999999999247
310,1.3874,1.3863,0.0010999999999998789
